10.3,3.5,3
1.67,2.71,0
2.96,5.8,1
6.03,1.95,2
8.58,2.89,3
1.87,3.56,0
4.14,6.6,1
5.39,1.02,2
8.45,2.28,3
1.62,3.05,0
4.14,6.78,1
4.93,2.02,2
7.76,1.9,3
2.48,3.18,0
3.71,4.8,1
5.38,1.36,2
8.28,1.26,3
0.88,2.83,0
4.13,5.29,1
5.32,1.93,2
7.22,2.76,3
1.15,2.57,0
4.25,5.96,1
6.4,2.35,2
7.73,3.75,3
0.63,2.72,0
5.54,5.58,1
4.05,0.69,2
7.49,3.84,3
0.38,3.24,0
4.17,4.67,1
4.04,2.25,2
7.74,3.91,3
0.84,5.0,0
4.51,5.62,1
5.18,0.62,2
9.04,3.78,3
1.61,2.63,0
4.67,5.61,1
4.97,1.8,2
7.88,3.32,3
0.88,2.23,0
3.79,6.02,1
6.1,2.17,2
9.75,3.91,3
